Estacion AMB NORMAL;;;Sensor IOT (PROM);;;
Fecha;Hora;Valor;Fecha;Hora;Valor;
6/12/2018;7:00:00;17,7;6/12/2018;7:01:11;23,00000000000000;
6/12/2018;8:00:00;17,9;6/12/2018;8:01:11;15,85714435577390;
6/12/2018;9:00:00;17,3;6/12/2018;9:01:11;21,28571510314940;
6/12/2018;10:00:00;16,1;6/12/2018;10:01:11;14,28571414947500;
6/12/2018;11:00:00;15,4;6/12/2018;11:01:11;20,00000000000000;
6/12/2018;12:00:00;12,1;6/12/2018;12:01:11;29,99999809265130;
6/12/2018;13:00:00;11,5;6/12/2018;13:01:11;29,14285659790030;
6/12/2018;14:00:00;11,9;6/12/2018;14:01:11;14,14285659790030;
6/12/2018;15:00:00;11,9;6/12/2018;15:01:11;20,71428680419920;
6/12/2018;16:00:00;13;6/12/2018;16:01:10;17,42857170104980;
6/12/2018;17:00:00;14,9;6/12/2018;17:01:20;13,57142829895010;
6/12/2018;18:00:00;15,2;6/12/2018;18:01:11;16,00000000000000;
6/12/2018;19:00:00;13,6;6/12/2018;19:01:10;13,00000000000000;
6/12/2018;20:00:00;13,9;6/12/2018;20:01:10;13,99999904632560;
6/12/2018;21:00:00;12,8;6/12/2018;21:01:10;17,00000190734860;
6/12/2018;22:00:00;12,1;6/12/2018;22:01:11;18,57143020629880;
6/12/2018;23:00:00;12,2;6/12/2018;23:01:11;20,85714340209960;
7/12/2018;0:00:00;14,3;7/12/2018;0:01:10;20,00000000000000;
7/12/2018;1:00:00;15,3;7/12/2018;1:01:11;21,85714340209960;
7/12/2018;2:00:00;14,8;7/12/2018;2:01:11;27,28571319580070;
7/12/2018;3:00:00;13,6;7/12/2018;3:01:11;18,57143020629880;
7/12/2018;4:00:00;15,7;7/12/2018;4:01:11;27,14285659790030;
7/12/2018;5:00:00;15,5;7/12/2018;5:01:11;41,42857360839840;
7/12/2018;6:00:00;13,5;7/12/2018;6:01:11;43,42856979370110;
7/12/2018;7:00:00;19,1;7/12/2018;7:01:11;34,71428680419920;
7/12/2018;8:00:00;21;7/12/2018;8:01:11;31,85714149475090;
7/12/2018;9:00:00;16;7/12/2018;9:01:11;36,85714340209960;
7/12/2018;10:00:00;16,3;7/12/2018;10:01:11;29,42856979370110;
7/12/2018;11:00:00;16,4;7/12/2018;11:01:11;32,57143020629880;
7/12/2018;12:00:00;13,4;7/12/2018;12:01:11;33,28571701049800;
7/12/2018;13:00:00;12,5;7/12/2018;13:01:11;32,71428680419920;
7/12/2018;14:00:00;12,1;7/12/2018;14:01:11;32,57143020629880;
7/12/2018;15:00:00;12,9;7/12/2018;15:01:11;25,14285659790030;
7/12/2018;16:00:00;13,7;7/12/2018;16:01:11;17,85714340209960;
7/12/2018;17:00:00;15,1;7/12/2018;17:01:11;19,85714340209960;
7/12/2018;18:00:00;16,2;7/12/2018;18:01:11;17,28571510314940;
7/12/2018;19:00:00;15,5;7/12/2018;19:01:11;16,42857170104980;
7/12/2018;20:00:00;17;7/12/2018;20:01:11;15,99999904632560;
7/12/2018;21:00:00;18,6;7/12/2018;21:01:12;15,99999809265130;
7/12/2018;22:00:00;17,4;7/12/2018;22:01:11;16,85714340209960;
7/12/2018;23:00:00;17,2;7/12/2018;23:01:11;22,57143020629880;
8/12/2018;0:00:00;26,1;8/12/2018;0:01:11;26,14285659790030;
8/12/2018;1:00:00;36,7;8/12/2018;1:01:11;24,85714149475090;
8/12/2018;2:00:00;30,5;8/12/2018;2:01:11;31,14285659790030;
8/12/2018;3:00:00;25,7;8/12/2018;3:01:12;17,14285659790030;
8/12/2018;4:00:00;25,1;8/12/2018;4:01:11;26,85714149475090;
8/12/2018;5:00:00;23,5;8/12/2018;5:01:11;29,85714149475090;
8/12/2018;6:00:00;24,7;8/12/2018;6:01:10;29,99999809265130;
8/12/2018;7:00:00;29,8;8/12/2018;7:01:10;29,14285659790030;
8/12/2018;8:00:00;24,4;8/12/2018;8:01:11;24,71428489685050;
8/12/2018;9:00:00;28,8;8/12/2018;9:01:11;28,14285659790030;
8/12/2018;10:00:00;18,5;8/12/2018;10:01:20;26,28571510314940;
8/12/2018;11:00:00;17,3;8/12/2018;11:01:11;27,42856979370110;
8/12/2018;12:00:00;15,5;8/12/2018;12:01:11;28,42856979370110;
8/12/2018;13:00:00;14,4;8/12/2018;13:01:11;28,57142639160150;
8/12/2018;14:00:00;12,8;8/12/2018;14:01:11;31,57142639160150;
8/12/2018;15:00:00;13;8/12/2018;15:01:11;18,85714149475090;
8/12/2018;16:00:00;12,9;8/12/2018;16:01:11;18,14285659790030;
8/12/2018;17:00:00;14,3;8/12/2018;17:01:11;18,14285850524900;
8/12/2018;18:00:00;16,7;8/12/2018;18:01:11;17,42857170104980;
8/12/2018;19:00:00;18,1;8/12/2018;19:01:11;18,00000000000000;
8/12/2018;20:00:00;20,3;8/12/2018;20:01:11;18,99999809265130;
8/12/2018;21:00:00;24,5;8/12/2018;21:01:11;16,71428489685050;
8/12/2018;22:00:00;21,2;8/12/2018;22:01:11;19,14285850524900;
8/12/2018;23:00:00;17,2;8/12/2018;23:01:11;19,28571319580070;
